run_nr	geo	spec_1	spec_2	contrast_nr	samples_1	samples_2
1	gom	abe	atl	1	Ross2abeare, 62552abearc	54761atlliz, 54786atlliz
2	gom	abe	atl	2	62551abearc, 62550abearc	54849atlliz, 52990atltam
3	gom	abe	cas	3	62551abearc, 62550abearc	54649casliz, 54650casliz
4	gom	atl	cas	4	27936atltam, 54689atlliz	54649casliz, 54650casliz
5	gom	abe	eco	5	62551abearc, 62550abearc	62556ecoarc, 62576ecoarc
6	gom	atl	eco	6	54849atlliz, 52990atltam	62556ecoarc, 62576ecoarc
7	gom	cas	eco	7	54649casliz, 54650casliz	62556ecoarc, 62576ecoarc
8	gom	abe	esp	8	62551abearc, 62550abearc	62571esparc, 62555esparc
9	gom	atl	esp	9	27936atltam, 54689atlliz	62571esparc, 62555esparc
10	gom	cas	esp	10	54649casliz, 54650casliz	62571esparc, 62555esparc
11	gom	eco	esp	11	62556ecoarc, 62576ecoarc	62571esparc, 62555esparc
12	gom	abe	flo	12	Ross2abeare, 62552abearc	62560floarc, PL17_160floflk
13	gom	abe	flo	13	62551abearc, 62550abearc	62559floarc, 62558floarc
14	gom	atl	flo	14	54849atlliz, 52990atltam	62559floarc, 62558floarc
15	gom	atl	flo	15	27936atltam, 54689atlliz	62560floarc, PL17_160floflk
16	gom	cas	flo	16	54649casliz, 54650casliz	62560floarc, PL17_160floflk
17	gom	eco	flo	17	62556ecoarc, 62576ecoarc	62560floarc, PL17_160floflk
18	gom	esp	flo	18	62571esparc, 62555esparc	62559floarc, 62558floarc
19	gom	abe	gem	19	62551abearc, 62550abearc	PL17_142gemflk, PL17_153gemflk
20	gom	abe	gem	20	Ross2abeare, 62552abearc	62515gemarc, PL17_144gemflk
21	gom	atl	gem	21	54849atlliz, 52990atltam	PL17_142gemflk, PL17_153gemflk
22	gom	atl	gem	22	54761atlliz, 54786atlliz	62515gemarc, PL17_144gemflk
23	gom	atl	gem	23	27936atltam, 54689atlliz	PL17_145gemflk, 62553gemarc
24	gom	atl	gem	24	52988atltam, 52989atltam	Ross1gemare, 62570gemarc
25	gom	cas	gem	25	54649casliz, 54650casliz	62515gemarc, PL17_144gemflk
26	gom	eco	gem	26	62556ecoarc, 62576ecoarc	62515gemarc, PL17_144gemflk
27	gom	esp	gem	27	62571esparc, 62555esparc	PL17_142gemflk, PL17_153gemflk
28	gom	flo	gem	28	62559floarc, 62558floarc	PL17_142gemflk, PL17_153gemflk
29	gom	flo	gem	29	62560floarc, PL17_160floflk	62515gemarc, PL17_144gemflk
30	gom	abe	pue	30	Ross2abeare, 62552abearc	PL17_159pueflk, PL17_155pueflk
31	gom	abe	pue	31	62551abearc, 62550abearc	PL17_157pueflk, PL17_139pueflk
32	gom	atl	pue	32	52988atltam, 52989atltam	62263pueala, 62577puearc
33	gom	atl	pue	33	27936atltam, 54689atlliz	62953puearc, 62948puearc
34	gom	atl	pue	34	54761atlliz, 54786atlliz	PL17_157pueflk, PL17_139pueflk
35	gom	atl	pue	35	54849atlliz, 52990atltam	62264pueala, Ross3pueare
36	gom	cas	pue	36	54649casliz, 54650casliz	62263pueala, 62577puearc
37	gom	eco	pue	37	62556ecoarc, 62576ecoarc	62953puearc, 62948puearc
38	gom	esp	pue	38	62571esparc, 62555esparc	62263pueala, 62577puearc
39	gom	flo	pue	39	62560floarc, PL17_160floflk	62264pueala, Ross3pueare
40	gom	flo	pue	40	62559floarc, 62558floarc	62263pueala, 62577puearc
41	gom	gem	pue	41	PL17_145gemflk, 62553gemarc	PL17_159pueflk, PL17_155pueflk
42	gom	gem	pue	42	PL17_142gemflk, PL17_153gemflk	PL17_157pueflk, PL17_139pueflk
43	gom	gem	pue	43	62515gemarc, PL17_144gemflk	62264pueala, Ross3pueare
44	gom	gem	pue	44	Ross1gemare, 62570gemarc	62263pueala, 62577puearc
45	gom	abe	ran	45	62551abearc, 62550abearc	62575ranarc, 62562ranarc
46	gom	atl	ran	46	54849atlliz, 52990atltam	62575ranarc, 62562ranarc
47	gom	cas	ran	47	54649casliz, 54650casliz	62575ranarc, 62562ranarc
48	gom	eco	ran	48	62556ecoarc, 62576ecoarc	62575ranarc, 62562ranarc
49	gom	esp	ran	49	62571esparc, 62555esparc	62575ranarc, 62562ranarc
50	gom	flo	ran	50	62559floarc, 62558floarc	62575ranarc, 62562ranarc
51	gom	gem	ran	51	Ross1gemare, 62570gemarc	62575ranarc, 62562ranarc
52	gom	pue	ran	52	62263pueala, 62577puearc	62575ranarc, 62562ranarc
53	gom	abe	uni	53	62551abearc, 62550abearc	PL17_135uniflk, PL17_136uniflk
54	gom	abe	uni	54	Ross2abeare, 62552abearc	PL17_138uniflk, PL17_141uniflk
55	gom	atl	uni	55	54761atlliz, 54786atlliz	PL17_138uniflk, PL17_141uniflk
56	gom	atl	uni	56	27936atltam, 54689atlliz	PL17_135uniflk, PL17_136uniflk
57	gom	atl	uni	57	52988atltam, 52989atltam	PL17_137uniflk, PL17_143uniflk
58	gom	atl	uni	58	54849atlliz, 52990atltam	PL17_140uniflk, PL17_134uniflk
59	gom	cas	uni	59	54649casliz, 54650casliz	PL17_137uniflk, PL17_143uniflk
60	gom	eco	uni	60	62556ecoarc, 62576ecoarc	PL17_137uniflk, PL17_143uniflk
61	gom	esp	uni	61	62571esparc, 62555esparc	PL17_140uniflk, PL17_134uniflk
62	gom	flo	uni	62	62559floarc, 62558floarc	PL17_140uniflk, PL17_134uniflk
63	gom	flo	uni	63	62560floarc, PL17_160floflk	PL17_138uniflk, PL17_141uniflk
64	gom	gem	uni	64	PL17_142gemflk, PL17_153gemflk	PL17_137uniflk, PL17_143uniflk
65	gom	gem	uni	65	PL17_145gemflk, 62553gemarc	PL17_135uniflk, PL17_136uniflk
66	gom	gem	uni	66	Ross1gemare, 62570gemarc	PL17_140uniflk, PL17_134uniflk
67	gom	gem	uni	67	62515gemarc, PL17_144gemflk	PL17_138uniflk, PL17_141uniflk
68	gom	pue	uni	68	62263pueala, 62577puearc	PL17_140uniflk, PL17_134uniflk
69	gom	pue	uni	69	PL17_159pueflk, PL17_155pueflk	PL17_135uniflk, PL17_136uniflk
70	gom	pue	uni	70	62264pueala, Ross3pueare	PL17_137uniflk, PL17_143uniflk
71	gom	pue	uni	71	62953puearc, 62948puearc	PL17_138uniflk, PL17_141uniflk
72	gom	ran	uni	72	62575ranarc, 62562ranarc	PL17_140uniflk, PL17_134uniflk
